Voltage(V)	Runtime
8.37		54048
8.37		54164
8.40		54281
8.40		54397
8.37		54513
8.37		54630
8.37		54747
8.37		54862
8.37		54979
8.37		55096
8.37		55212
8.40		55328
8.37		55445
8.40		55562
8.40		55677
8.40		55794
8.40		55911
8.40		56028
8.40		56143
8.40		56260
8.40		56377
8.40		56493
8.40		56609
8.40		56724
8.40		56840
8.40		56956
8.40		57073
8.40		57189
8.40		57306
8.40		57422
8.40		57538
8.40		57655
8.40		57772
8.40		57887
8.40		58004
8.37		58121
8.40		58237
8.40		58353
8.40		58470
8.37		58587
8.37		58702
8.40		58819
8.40		58936
8.40		59052
8.40		59168
8.40		59285
8.40		59401
8.40		59517
8.40		59634
8.40		59751
8.40		59867
8.40		59983
8.40		60100
8.40		60217
8.40		60333
8.40		60449
8.40		60566
8.40		60682
8.40		60798
8.40		60915
8.40		61031
8.40		61148
8.40		61266
8.40		61383
8.37		61500
8.37		61617
8.37		61732
8.37		61849
8.37		61965
8.37		62082
8.37		62198
8.37		62315
8.37		62432
8.37		62547
8.37		62664
8.37		62781
8.37		62898
8.37		63014
8.37		63130
8.37		63247
8.37		63364
8.37		63479
8.37		63596
8.37		63713
8.37		63828
8.37		63945
8.37		64062
8.40		64178
8.37		64294
8.40		64411
8.40		64528
8.37		64644
8.40		64760
8.40		64877
8.40		64994
8.40		65110
8.40		65226
8.40		65343
8.40		65459
8.40		65575
8.40		65692
8.40		65811
8.40		65928
8.37		66043
8.40		66160
8.37		66277
8.37		66394
8.37		66509
8.37		66626
8.40		66743
8.40		66859
8.40		66975
8.40		67092
8.40		67208
8.40		67324
8.40		67441
8.40		67557
8.40		67674
8.40		67790
8.40		67907
8.40		68023
8.40		68140
8.40		68256
8.40		68372
8.40		68489
8.40		68605
8.40		68721
8.40		68838
8.40		68955
8.40		69070
8.40		69187
8.40		69304
8.40		69421
8.40		69536
8.40		69653
8.40		69770
8.40		69886
8.40		70002
8.40		70119
8.40		70235
8.40		70351
8.37		70471
8.40		70587
8.37		70704
8.40		70820
8.37		70936
8.40		71053
8.37		71170
8.40		71285
8.37		71402
8.37		71519
8.37		71634
8.37		71751
8.37		71868
8.37		71985
8.37		72100
8.37		72217
8.37		72334
8.37		72450
8.37		72566
8.37		72683
8.37		72800
8.37		72915
8.40		73032
8.37		73149
8.37		73266
8.40		73381
8.40		73498
8.40		73615
8.40		73731
8.40		73847
8.40		73964
8.40		74080
8.40		74196
8.40		74313
8.37		74429
8.40		74546
8.37		74662
8.37		74779
8.40		74895
8.40		75015
8.40		75130
8.40		75247
8.40		75364
8.40		75480
8.40		75596
8.40		75713
8.40		75829
8.40		75945
8.40		76062
8.40		76179
8.40		76295
8.40		76411
8.40		76528
8.40		76644
8.40		76761
8.40		76877
8.40		76993
8.40		77110
8.40		77227
8.40		77342
8.40		77459
8.40		77576
8.40		77692
8.40		77808
8.40		77925
8.40		78042
8.40		78157
8.40		78274
8.40		78391
8.40		78507
8.40		78623
8.40		78740
8.40		78857
8.40		78972
8.40		79089
8.40		79206
8.40		79322
8.40		79438
8.40		79557
8.40		79674
8.40		79791
8.40		79906
8.40		80023
8.40		80140
8.40		80257
8.40		80372
8.40		80489
8.40		80605
8.40		80721
8.40		80838
8.40		80955
8.40		81071
8.40		81187
8.40		81304
8.40		81420
8.40		81537
8.40		81653
8.40		81769
8.40		81886
8.50		82002
8.47		82118
8.47		82235
8.45		82352
8.45		82468
8.45		82584
8.45		82701
8.42		82818
8.42		82934
8.42		83050
8.42		83167
8.42		83283
8.42		83399
8.42		83516
8.42		83633
8.42		83749
8.42		83865
8.40		83982
8.40		84099
8.40		84217
8.40		84334
8.40		84450
8.40		84567
8.40		84683
8.40		84799
8.40		84916
8.40		85032
8.40		85148
8.40		85265
8.40		85382
8.40		85497
8.40		85614
8.40		85731
8.40		85848
8.40		85963
8.40		86080
8.40		86197
8.40		86312
8.40		86429
8.30		86546
8.42		86663
8.30		86778
8.42		86895
8.40		87011
8.57		87128
8.74		87244
9.47		87361
9.23		87477
9.30		87593
9.40		87710
9.40		87827
9.38		87943
9.33		88059
9.25		88176
9.23		88292
9.18		88409
9.13		88525
9.01		88641
8.89		88761
8.89		88877
8.89		88993
9.06		89110
8.98		89227
8.98		89342
8.98		89459
9.33		89576
9.18		89692
9.16		89808
9.16		89925
9.45		90041
9.47		90158
9.35		90274
9.16		90390
9.13		90507
9.25		90624
9.28		90740
9.25		90856
9.25		90973
9.25		91089
9.25		91206
9.25		91322
9.25		91439
9.33		91554
9.08		91671
9.01		91788
9.96		91905
9.55		92020
9.52		92137
9.50		92254
9.59		92369
9.25		92486
9.50		92603
9.50		92720
9.69		92835
9.69		92952
9.42		93069
9.52		93185
9.52		93301
9.55		93420
9.52		93537
9.52		93654
9.52		93769
9.52		93886
9.50		94003
9.52		94118
9.55		94235
9.55		94352
9.52		94468
9.55		94584
9.55		94701
9.55		94818
9.52		94934
9.52		95050
9.50		95167
9.52		95283
9.52		95399
9.50		95516
9.50		95632
9.50		95749
9.50		95865
9.50		95981
9.50		96098
9.50		96215
9.50		96331
9.47		96447
9.50		96564
9.52		96679
9.52		96796
9.45		96913
9.20		97030
9.16		97145
9.13		97262
9.13		97379
9.13		97496
9.13		97611
9.13		97728
9.13		97845
9.13		97964
9.13		98080
9.13		98196
9.13		98313
9.13		98429
9.13		98545
9.13		98662
9.13		98779
9.11		98895
9.11		99011
9.13		99128
9.13		99244
9.13		99360
9.11		99477
9.13		99594
9.13		99709
9.11		99826
9.13		99943
9.11		100059
9.13		100175
9.13		100292
9.13		100409
9.13		100526
9.13		100641
9.13		100758
9.13		100875
9.13		100992
9.13		101108
9.13		101224
9.13		101341
9.13		101457
9.13		101574
9.13		101691
9.13		101807
9.13		101923
9.11		102040
9.13		102157
9.13		102274
9.13		102392
9.13		102509
9.13		102626
9.11		102742
9.13		102858
9.13		102975
9.13		103092
9.13		103208
9.13		103324
9.13		103441
9.13		103558
9.13		103674
9.13		103791
9.13		103907
9.13		104024
9.13		104140
9.13		104257
9.13		104602
9.13		104719
9.13		104836
9.13		104951
9.13		105069
9.13		105185
9.13		105302
9.13		105418
9.13		105535
9.13		105651
9.13		105767
9.13		105884
9.13		106001
9.13		106118
9.13		106233
9.13		106350
9.13		106467
9.13		106584
9.13		106700
9.13		106819
9.13		106936
9.13		107053
9.13		107169
9.13		107285
9.13		107402
9.13		107518
9.13		107635
9.13		107752
9.13		107868
9.13		107984
9.13		108101
9.13		108218
9.13		108334
9.13		108450
9.13		108567
9.13		108684
9.13		108801
9.13		108916
9.13		109033
9.13		109150
9.13		109266
9.13		109383
9.13		109500
9.13		109616
9.13		109732
9.13		109849
9.13		109966
9.13		110083
9.11		110198
9.13		110315
9.13		110432
9.13		110548
9.13		110665
9.13		110781
9.13		110898
9.13		111014
9.13		111133
9.13		111250
9.13		111367
9.13		111483
9.13		111600
9.13		111716
9.13		111833
9.13		111949
9.13		112066
9.13		112183
9.13		112299
9.13		112415
9.11		112532
9.13		112649
9.13		112765
9.13		112882
9.13		112998
9.13		113115
9.13		113231
9.13		113348
9.13		113465
9.13		113581
9.13		113697
9.13		113814
9.13		113931
9.13		114048
9.13		114163
9.13		114280
9.13		114397
9.13		114513
9.13		114629
9.13		114747
9.13		114863
9.13		114979
9.13		115096
9.13		115213
9.13		115329
9.11		115448
9.13		115565
9.13		115681
9.13		115798
9.13		115914
9.11		116031
9.11		116148
9.11		116264
9.11		116380
9.13		116497
9.13		116614
9.11		116730
9.13		116847
9.11		116963
9.11		117080
9.11		117196
9.11		117313
9.11		117430
9.11		117545
9.11		117662
9.11		117779
9.11		117896
9.11		118012
9.11		118129
9.11		118245
9.11		118362
9.11		118478
9.11		118595
9.11		118711
9.11		118828
9.11		118944
9.11		119061
9.11		119178
9.11		119293
9.11		119410
9.11		119527
9.11		119647
9.11		119762
9.11		119879
9.11		119996
9.11		120113
9.11		120229
9.11		120345
9.11		120462
9.11		120579
9.11		120695
9.11		120811
9.11		120929
9.11		121044
9.11		121161
9.11		121278
9.11		121395
9.11		121510
9.11		121627
9.11		121744
9.11		121861
9.11		121977
9.11		122093
9.11		122210
9.11		122327
9.11		122443
9.11		122560
9.11		122677
9.11		122792
9.11		122909
9.11		123026
9.11		123143
9.11		123259
9.11		123375
9.11		123492
9.11		123609
9.11		123725
9.11		123842
9.11		123961
9.11		124078
9.11		124194
9.11		124311
9.11		124427
9.11		124544
9.11		124660
9.11		124777
9.11		124893
9.11		125010
9.11		125126
9.11		125243
9.11		125360
9.11		125476
9.11		125592
9.11		125709
9.11		125826
9.11		125942
9.11		126059
9.11		126175
9.11		126291
9.11		126408
9.11		126525
9.11		126642
9.11		126758
9.11		126874
9.11		126991
9.11		127108
9.11		127224
9.11		127341
9.11		127457
9.11		127574
9.11		127690
9.11		127807
9.11		127924
9.11		128040
9.11		128159
9.11		128276
9.11		128392
9.11		128508
9.11		128625
9.11		128742
9.11		128859
9.11		128975
9.11		129091
9.11		129208
9.11		129325
9.11		129441
9.11		129558
9.11		129674
9.11		129790
9.11		129907
9.11		130024
9.11		130141
9.11		130256
9.11		130373
9.11		130490
9.11		130607
9.11		130723
9.11		130839
9.11		130956
9.11		131073
9.11		131189
9.11		131306
9.11		131423
9.11		131538
9.11		131655
9.11		131772
9.11		131889
9.11		132005
9.11		132121
9.11		132238
9.11		132355
9.11		132473
9.11		132590
9.11		132707
9.11		132824
9.11		132940
9.11		133056
9.11		133173
9.11		133289
9.11		133406
9.11		133523
9.11		133639
9.11		133755
9.11		133872
9.11		133989
9.11		134106
9.11		134221
9.11		134338
9.11		134455
9.11		134572
9.11		134688
9.11		134804
9.11		134921
9.11		135037
9.11		135154
9.11		135271
9.11		135388
9.11		135503
9.11		135620
9.11		135737
9.11		135854
9.11		135969
9.11		136086
9.11		136203
9.11		136320
9.11		136436
9.11		136552
9.11		136672
9.11		136788
9.11		136905
9.11		137021
9.11		137138
9.11		137254
9.11		137371
9.11		137488
9.11		137604
9.11		137720
9.11		137837
9.11		137954
9.11		138070
9.11		138186
9.11		138303
9.11		138420
9.11		138536
9.11		138653
9.11		138769
9.11		138886
9.11		139002
9.11		139119
9.11		139236
9.11		139352
9.11		139468
9.11		139585
9.11		139702
9.11		139819
9.11		139934
9.11		140051
9.11		140168
9.11		140284
9.11		140401
9.11		140517
9.11		140634
9.11		140750
9.11		140867
9.11		140986
9.11		141103
9.11		141219
9.11		141335
9.11		141452
9.11		141569
9.11		141685
9.11		141802
9.11		141918
9.11		142034
9.11		142151
9.11		142268
9.11		142384
9.11		142500
9.11		142617
9.11		142734
9.11		142850
9.11		142966
9.11		143083
9.11		143200
9.11		143315
9.11		143432
9.11		143549
9.11		143666
9.11		143782
9.11		143898
9.11		144015
9.11		144132
9.11		144247
9.11		144364
9.11		144481
9.11		144598
9.11		144714
9.11		144830
9.11		144947
9.11		145063
9.11		145180
9.11		145299
9.11		145416
9.11		145532
9.11		145648
9.11		145765
9.11		145882
9.11		145998
9.11		146115
9.11		146232
9.11		146348
9.11		146465
9.11		146581
9.11		146698
9.11		146814
9.11		146931
9.11		147047
9.11		147165
9.11		147280
9.11		147397
9.11		147514
9.11		147631
9.11		147746
9.11		147864
9.11		147980
9.11		148097
9.11		148213
9.11		148330
9.11		148446
9.11		148563
9.11		148679
9.11		148796
9.11		148913
9.11		149029
9.11		149145
9.11		149263
9.11		149379
9.11		149498
9.11		149615
9.11		149731
9.11		149848
9.11		149964
9.11		150081
9.11		150198
9.11		150313
9.11		150430
9.11		150547
9.11		150664
9.11		150780
9.11		150896
9.11		151013
9.11		151130
9.11		151246
9.11		151363
9.11		151479
9.11		151596
9.11		151712
9.11		151829
9.11		151946
9.11		152062
9.11		152178
9.11		152295
9.11		152412
9.11		152528
9.11		152645
9.11		152761
9.11		152878
9.11		152994
9.11		153111
9.11		153227
9.11		153344
9.11		153460
9.11		153577
9.11		153694
9.11		153812
9.11		153929
9.11		154046
9.11		154163
9.11		154278
9.11		154395
9.11		154512
9.11		154629
9.11		154745
9.11		154861
9.11		154978
9.11		155095
9.11		155211
9.11		155327
9.11		155445
9.11		155560
9.11		155677
9.11		155794
9.11		155911
9.11		156026
9.11		156143
9.11		156260
9.11		156377
9.11		156493
9.11		156609
9.11		156726
9.11		156843
9.11		156959
9.11		157076
9.11		157192
9.11		157308
9.11		157425
9.11		157542
9.11		157659
9.11		157775
9.11		157891
9.11		158011
9.11		158128
9.11		158243
9.11		158360
9.11		158477
9.11		158594
9.11		158709
9.11		158827
9.11		158943
9.11		159059
9.11		159176
9.11		159293
9.11		159409
9.11		159525
9.11		159642
9.11		159759
9.11		159876
9.11		159991
9.11		160108
9.11		160225
9.11		160342
9.11		160458
9.11		160574
9.11		160691
9.11		160807
9.11		160924
9.11		161041
9.11		161157
9.11		161273
9.11		161390
9.11		161507
9.11		161624
9.11		161740
9.11		161856
9.11		161973
9.11		162089
9.11		162206
9.11		162325
9.11		162442
9.11		162558
9.11		162674
9.11		162791
9.11		162908
9.11		163024
9.11		163141
9.11		163258
9.11		163374
9.11		163490
9.11		163607
9.11		163724
9.11		163841
9.11		163956
9.11		164073
9.11		164190
9.11		164306
9.11		164423
9.11		164539
9.11		164656
9.11		164772
9.11		164889
9.11		165005
9.11		165123
9.11		165238
9.11		165355
9.11		165472
